Key type,Value type,Number of keys,Algorithm,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
m,m,200000,VectorMap;0.8,1,32000000,0.0114212,0.00451228,0.00111482
m,m,200000,VectorMap;0.8,2,32000000,0.0113874,0.00456188,0.00107365
m,m,200000,VectorMap;0.8,3,32000000,0.0113288,0.00445499,0.00112461
m,m,200000,VectorMap;0.8,4,32000000,0.0110597,0.00440221,0.00113721
m,m,200000,BBHash;2;0,0,13546112,0.0807298,0.0127491,0.00278612
m,m,200000,BBHash;2;0,1,13546112,0.0812182,0.0129137,0.00277509
m,m,200000,BBHash;2;0,2,13546112,0.0838208,0.0132739,0.002687
m,m,200000,BBHash;2;0,3,13546112,0.0835288,0.0126148,0.00270004
m,m,200000,BBHash;2;0,4,13546112,0.0832214,0.0131385,0.00278235
m,m,200000,BBHash;5;0,0,14178560,0.0562116,0.0117362,0.00249928
m,m,200000,BBHash;5;0,1,14178560,0.0551935,0.0112238,0.00240659
m,m,200000,BBHash;5;0,2,14178560,0.0558117,0.0112628,0.00249167
m,m,200000,BBHash;5;0,3,14178560,0.0547526,0.0113678,0.00235286
m,m,200000,BBHash;5;0,4,14178560,0.0548248,0.0116885,0.00252284
m,m,200000,PTHash;5;0.8;dictionary-dictionary;0,0,16442112,0.0443017,0.00424067,0.00142568
m,m,200000,PTHash;5;0.8;dictionary-dictionary;0,1,16442112,0.0432277,0.00418065,0.00145379
m,m,200000,PTHash;5;0.8;dictionary-dictionary;0,2,16442048,0.0428838,0.00416856,0.00141844
m,m,200000,PTHash;5;0.8;dictionary-dictionary;0,3,16442112,0.0429817,0.00417022,0.00139314
m,m,200000,PTHash;5;0.8;dictionary-dictionary;0,4,16442304,0.0430509,0.00416196,0.00139732
m,m,200000,PTHash;8;0.98;dictionary-dictionary;1,0,13799616,0.0447821,0.00415028,0.00150635
m,m,200000,PTHash;8;0.98;dictionary-dictionary;1,1,13799488,0.0449059,0.00416038,0.00148656
m,m,200000,PTHash;8;0.98;dictionary-dictionary;1,2,13799424,0.0443236,0.00441231,0.00154064
m,m,200000,PTHash;8;0.98;dictionary-dictionary;1,3,13799488,0.0453552,0.00414976,0.00149646
m,m,200000,PTHash;8;0.98;dictionary-dictionary;1,4,13799680,0.0447016,0.00415887,0.00150715
m,h,500000,AceHash;4;0.8;1;1;1;0,0,6005440,0.0260225,0.00343502,0.0012819
m,h,500000,AceHash;4;0.8;1;1;1;0,1,6005440,0.0248351,0.00338791,0.00126032
m,h,500000,AceHash;4;0.8;1;1;1;0,2,6005440,0.0248871,0.00338846,0.0012311
m,h,500000,AceHash;4;0.8;1;1;1;0,3,6005440,0.0249826,0.00338664,0.00123568
m,h,500000,AceHash;4;0.8;1;1;1;0,4,6005440,0.0249967,0.00332918,0.00125975
m,h,500000,AceHash;2.5;1;1;1;1;0,0,5736592,0.0283579,0.00339317,0.00128382
m,h,500000,AceHash;2.5;1;1;1;1;0,1,5736592,0.0283724,0.0033664,0.00129698
m,h,500000,AceHash;2.5;1;1;1;1;0,2,5736592,0.028281,0.00332827,0.00128657
m,h,500000,AceHash;2.5;1;1;1;1;0,3,5736592,0.0284036,0.00332371,0.00129557
m,h,500000,AceHash;2.5;1;1;1;1;0,4,5736592,0.0283559,0.00339142,0.00128379
m,h,500000,std::unordered_map,0,0,0.0361665,0.0137514,0.00293314
m,h,500000,std::unordered_map,1,0,0.0334442,0.0134552,0.00292913
m,h,500000,std::unordered_map,2,0,0.0339214,0.0134692,0.00281415
m,h,500000,std::unordered_map,3,0,0.03394,0.0135758,0.00283103
m,h,500000,std::unordered_map,4,0,0.0340471,0.013424,0.00284639
m,h,500000,absl::flat_hash_map,0,0,0.0261137,0.0103995,0.00214874
m,h,500000,absl::flat_hash_map,1,0,0.0242062,0.010347,0.00215093
m,h,500000,absl::flat_hash_map,2,0,0.0145103,0.0103426,0.00210326
m,h,500000,absl::flat_hash_map,3,0,0.0146245,0.0103764,0.00210729
m,h,500000,absl::flat_hash_map,4,0,0.0146046,0.010369,0.00211448
m,h,500000,VectorMap;0.6,0,106666752,0.0493169,0.0114381,0.00235484
m,h,500000,VectorMap;0.6,1,106666752,0.0359577,0.0111393,0.00233289
m,h,500000,VectorMap;0.6,2,106666752,0.036095,0.0111962,0.0023638
m,h,500000,VectorMap;0.6,3,106666752,0.0362027,0.0111347,0.0024089
m,h,500000,VectorMap;0.6,4,106666752,0.0360135,0.011063,0.00234503
m,h,500000,VectorMap;0.7,0,91428608,0.0343255,0.0119304,0.00254537
m,h,500000,VectorMap;0.7,1,91428608,0.033389,0.0117828,0.00249281
m,h,500000,VectorMap;0.7,2,91428608,0.0337889,0.0118963,0.00250283
m,h,500000,VectorMap;0.7,3,91428608,0.0332849,0.0119172,0.00282927
m,h,500000,VectorMap;0.7,4,91428608,0.038715,0.0124802,0.00260485
m,h,500000,VectorMap;0.8,0,80000000,0.033325,0.0130779,0.00271795
m,h,500000,VectorMap;0.8,1,80000000,0.0324778,0.0128935,0.00270067
m,h,500000,VectorMap;0.8,2,80000000,0.035734,0.0135814,0.00269566
m,h,500000,VectorMap;0.8,3,80000000,0.032482,0.0129163,0.00270553
m,h,500000,VectorMap;0.8,4,80000000,0.0323158,0.0129182,0.00269429
m,h,500000,BBHash;2;0,0,5858816,0.154307,0.0264485,0.00638034
m,h,500000,BBHash;2;0,1,5858816,0.152635,0.0263798,0.00640651
m,h,500000,BBHash;2;0,2,5858816,0.147769,0.0265419,0.00638418
m,h,500000,BBHash;2;0,3,5858816,0.145972,0.0264702,0.00639615
m,h,500000,BBHash;2;0,4,5858816,0.146594,0.0264794,0.00646412
m,h,500000,BBHash;5;0,0,7439616,0.107796,0.0233274,0.00558154
m,h,500000,BBHash;5;0,1,7439616,0.110192,0.0229334,0.00561145
m,h,500000,BBHash;5;0,2,7439616,0.109274,0.0227796,0.00556031
m,h,500000,BBHash;5;0,3,7439616,0.10628,0.0227103,0.00560453
m,h,500000,BBHash;5;0,4,7439616,0.110398,0.0229732,0.00556851
m,h,500000,PTHash;5;0.8;dictionary-dictionary;0,0,6062400,0.118113,0.00978617,0.00298857
m,h,500000,PTHash;5;0.8;dictionary-dictionary;0,1,6062208,0.116942,0.00988582,0.00297759
m,h,500000,PTHash;5;0.8;dictionary-dictionary;0,2,6062208,0.115946,0.00975073,0.00298278
m,h,500000,PTHash;5;0.8;dictionary-dictionary;0,3,6062144,0.115918,0.00980908,0.00324572
m,h,500000,PTHash;5;0.8;dictionary-dictionary;0,4,6062144,0.116965,0.00998258,0.00308859
m,h,500000,PTHash;8;0.98;dictionary-dictionary;1,0,5945488,0.119249,0.0107221,0.00316421
m,h,500000,PTHash;8;0.98;dictionary-dictionary;1,1,5945936,0.119276,0.0107539,0.00314906
m,h,500000,PTHash;8;0.98;dictionary-dictionary;1,2,5945552,0.119435,0.0107222,0.00319173
m,h,500000,PTHash;8;0.98;dictionary-dictionary;1,3,5945488,0.118024,0.0107282,0.00319738
m,h,500000,PTHash;8;0.98;dictionary-dictionary;1,4,5945680,0.119947,0.0108743,0.00314489
m,m,500000,AceHash;4;0.8;1;1;1;0,0,41003208,0.0263056,0.00484131,0.00159559
m,m,500000,AceHash;4;0.8;1;1;1;0,1,41003208,0.0259028,0.00471448,0.00152347
m,m,500000,AceHash;4;0.8;1;1;1;0,2,41003208,0.025945,0.00471536,0.00155142
m,m,500000,AceHash;4;0.8;1;1;1;0,3,41003208,0.0257947,0.00469888,0.00157357
m,m,500000,AceHash;4;0.8;1;1;1;0,4,41003208,0.0258659,0.00472073,0.00152432
m,m,500000,AceHash;2.5;1;1;1;1;0,0,33736592,0.029323,0.00496099,0.00151448
m,m,500000,AceHash;2.5;1;1;1;1;0,1,33736592,0.0295158,0.00499682,0.00156062
m,m,500000,AceHash;2.5;1;1;1;1;0,2,33736592,0.0293678,0.0049641,0.00148648
m,m,500000,AceHash;2.5;1;1;1;1;0,3,33736592,0.0293978,0.00496106,0.00151446
m,m,500000,AceHash;2.5;1;1;1;1;0,4,33736592,0.0293867,0.00496282,0.00155939
m,m,500000,std::unordered_map,0,0,0.0347093,0.0141544,0.0029315
m,m,500000,std::unordered_map,1,0,0.0347756,0.0138969,0.0028953
m,m,500000,std::unordered_map,2,0,0.0347233,0.0138664,0.00290904
m,m,500000,std::unordered_map,3,0,0.0337685,0.013829,0.00290508
m,m,500000,std::unordered_map,4,0,0.0349316,0.013967,0.00286696
m,m,500000,absl::flat_hash_map,0,0,0.0163726,0.0100322,0.00204591
m,m,500000,absl::flat_hash_map,1,0,0.015245,0.00986422,0.00204186
m,m,500000,absl::flat_hash_map,2,0,0.0152362,0.00984775,0.00205091
m,m,500000,absl::flat_hash_map,3,0,0.0152064,0.0098587,0.00203491
m,m,500000,absl::flat_hash_map,4,0,0.0152804,0.00984233,0.0020389
m,m,500000,VectorMap;0.6,0,106666752,0.039624,0.0115028,0.00235192
m,m,500000,VectorMap;0.6,1,106666752,0.0374319,0.0114584,0.00232629
m,m,500000,VectorMap;0.6,2,106666752,0.0376989,0.0113768,0.00234778
m,m,500000,VectorMap;0.6,3,106666752,0.0377119,0.0114479,0.00233018
m,m,500000,VectorMap;0.6,4,106666752,0.0376411,0.0116017,0.00236489
m,m,500000,VectorMap;0.7,0,91428608,0.0354668,0.0124666,0.00257639
m,m,500000,VectorMap;0.7,1,91428608,0.034493,0.0123867,0.00248322
m,m,500000,VectorMap;0.7,2,91428608,0.0352638,0.0125422,0.00256315
