Trial,Alpha,Algorithm,Time (s)
3,0.59,Conventional,0.113264
3,0.59,AceHash,0.0870278
4,0.59,Conventional,0.113997
4,0.59,AceHash,0.0870809
0,0.6,Conventional,0.112882
0,0.6,AceHash,0.086887
1,0.6,Conventional,0.112959
1,0.6,AceHash,0.086729
2,0.6,Conventional,0.112574
2,0.6,AceHash,0.0866715
3,0.6,Conventional,0.112425
3,0.6,AceHash,0.0867071
4,0.6,Conventional,0.112734
4,0.6,AceHash,0.0866769
0,0.61,Conventional,0.112356
0,0.61,AceHash,0.0865259
1,0.61,Conventional,0.112565
1,0.61,AceHash,0.0875982
2,0.61,Conventional,0.112764
2,0.61,AceHash,0.0865325
3,0.61,Conventional,0.112457
3,0.61,AceHash,0.0867895
4,0.61,Conventional,0.112037
4,0.61,AceHash,0.086564
0,0.62,Conventional,0.111921
0,0.62,AceHash,0.0860995
1,0.62,Conventional,0.111696
1,0.62,AceHash,0.0866994
2,0.62,Conventional,0.111732
2,0.62,AceHash,0.0882819
3,0.62,Conventional,0.111973
3,0.62,AceHash,0.0861604
4,0.62,Conventional,0.111576
4,0.62,AceHash,0.0863212
0,0.63,Conventional,0.111975
0,0.63,AceHash,0.0859252
1,0.63,Conventional,0.111685
1,0.63,AceHash,0.085791
2,0.63,Conventional,0.111345
2,0.63,AceHash,0.0862588
3,0.63,Conventional,0.111468
3,0.63,AceHash,0.0858748
4,0.63,Conventional,0.111454
4,0.63,AceHash,0.0859233
0,0.64,Conventional,0.111363
0,0.64,AceHash,0.0858892
1,0.64,Conventional,0.111067
1,0.64,AceHash,0.0857598
2,0.64,Conventional,0.111376
2,0.64,AceHash,0.0857688
3,0.64,Conventional,0.111185
3,0.64,AceHash,0.0857472
4,0.64,Conventional,0.111402
4,0.64,AceHash,0.0858085
0,0.65,Conventional,0.111325
0,0.65,AceHash,0.0855051
1,0.65,Conventional,0.111161
1,0.65,AceHash,0.0855731
2,0.65,Conventional,0.111633
2,0.65,AceHash,0.0855073
3,0.65,Conventional,0.111148
3,0.65,AceHash,0.0858108
4,0.65,Conventional,0.111221
4,0.65,AceHash,0.0854902
0,0.66,Conventional,0.111053
0,0.66,AceHash,0.0853076
1,0.66,Conventional,0.111354
1,0.66,AceHash,0.0853247
2,0.66,Conventional,0.11113
2,0.66,AceHash,0.0853456
3,0.66,Conventional,0.111073
3,0.66,AceHash,0.0853373
4,0.66,Conventional,0.111223
4,0.66,AceHash,0.0855844
0,0.67,Conventional,0.11136
0,0.67,AceHash,0.0849663
1,0.67,Conventional,0.111052
1,0.67,AceHash,0.0851391
2,0.67,Conventional,0.110667
2,0.67,AceHash,0.0849466
3,0.67,Conventional,0.111013
3,0.67,AceHash,0.0849637
4,0.67,Conventional,0.110564
4,0.67,AceHash,0.0849117
0,0.68,Conventional,0.111444
0,0.68,AceHash,0.0848391
1,0.68,Conventional,0.112853
1,0.68,AceHash,0.084722
2,0.68,Conventional,0.114503
2,0.68,AceHash,0.0848346
3,0.68,Conventional,0.111577
3,0.68,AceHash,0.0847012
4,0.68,Conventional,0.111675
4,0.68,AceHash,0.0849376
0,0.69,Conventional,0.111957
0,0.69,AceHash,0.0845853
1,0.69,Conventional,0.112142
1,0.69,AceHash,0.0854035
2,0.69,Conventional,0.11278
2,0.69,AceHash,0.0846095
3,0.69,Conventional,0.113543
3,0.69,AceHash,0.0843809
4,0.69,Conventional,0.111946
4,0.69,AceHash,0.0844491
0,0.7,Conventional,0.115502
0,0.7,AceHash,0.0844377
1,0.7,Conventional,0.112774
1,0.7,AceHash,0.0843239
2,0.7,Conventional,0.113417
2,0.7,AceHash,0.0843776
3,0.7,Conventional,0.112785
3,0.7,AceHash,0.0848027
4,0.7,Conventional,0.112812
4,0.7,AceHash,0.0848114
0,0.71,Conventional,0.115589
0,0.71,AceHash,0.0842276
1,0.71,Conventional,0.113707
1,0.71,AceHash,0.0841521
2,0.71,Conventional,0.113826
2,0.71,AceHash,0.0841309
3,0.71,Conventional,0.113712
3,0.71,AceHash,0.084176
4,0.71,Conventional,0.11369
4,0.71,AceHash,0.0842517
0,0.72,Conventional,0.114384
0,0.72,AceHash,0.0841476
1,0.72,Conventional,0.114448
1,0.72,AceHash,0.0843169
2,0.72,Conventional,0.114478
2,0.72,AceHash,0.0841706
3,0.72,Conventional,0.11501
3,0.72,AceHash,0.0842377
4,0.72,Conventional,0.114464
4,0.72,AceHash,0.0842126
0,0.73,Conventional,0.11529
0,0.73,AceHash,0.0839549
1,0.73,Conventional,0.115577
1,0.73,AceHash,0.0839872
2,0.73,Conventional,0.11539
2,0.73,AceHash,0.0839751
3,0.73,Conventional,0.115373
3,0.73,AceHash,0.0840402
4,0.73,Conventional,0.115371
4,0.73,AceHash,0.0840078
0,0.74,Conventional,0.116855
0,0.74,AceHash,0.084054
1,0.74,Conventional,0.117027
1,0.74,AceHash,0.0838837
2,0.74,Conventional,0.117119
2,0.74,AceHash,0.0840304
3,0.74,Conventional,0.117015
3,0.74,AceHash,0.0839637
4,0.74,Conventional,0.117345
4,0.74,AceHash,0.0839802
0,0.75,Conventional,0.118505
0,0.75,AceHash,0.0841364
1,0.75,Conventional,0.118567
1,0.75,AceHash,0.0839266
2,0.75,Conventional,0.118522
2,0.75,AceHash,0.0839278
3,0.75,Conventional,0.118539
3,0.75,AceHash,0.0841803
4,0.75,Conventional,0.118638
4,0.75,AceHash,0.0839677
0,0.76,Conventional,0.120509
0,0.76,AceHash,0.0835604
1,0.76,Conventional,0.120626
1,0.76,AceHash,0.0839803
2,0.76,Conventional,0.120639
2,0.76,AceHash,0.0835917
3,0.76,Conventional,0.120395
3,0.76,AceHash,0.0836906
4,0.76,Conventional,0.120383
4,0.76,AceHash,0.0836076
0,0.77,Conventional,0.121989
0,0.77,AceHash,0.0834811
1,0.77,Conventional,0.121725
1,0.77,AceHash,0.0834393
2,0.77,Conventional,0.121962
2,0.77,AceHash,0.0839087
3,0.77,Conventional,0.122096
3,0.77,AceHash,0.0834449
4,0.77,Conventional,0.121812
4,0.77,AceHash,0.0835979
0,0.78,Conventional,0.123747
0,0.78,AceHash,0.0836313
1,0.78,Conventional,0.124084
1,0.78,AceHash,0.0831954
2,0.78,Conventional,0.124019
2,0.78,AceHash,0.0832742
3,0.78,Conventional,0.124041
3,0.78,AceHash,0.0832001
4,0.78,Conventional,0.124017
4,0.78,AceHash,0.0832703
0,0.79,Conventional,0.125846
0,0.79,AceHash,0.0831175
1,0.79,Conventional,0.125806
1,0.79,AceHash,0.0832042
2,0.79,Conventional,0.125814
2,0.79,AceHash,0.0831401
3,0.79,Conventional,0.125802
3,0.79,AceHash,0.0832381
4,0.79,Conventional,0.125728
4,0.79,AceHash,0.083047
0,0.8,Conventional,0.127998
0,0.8,AceHash,0.0830766
1,0.8,Conventional,0.128027
1,0.8,AceHash,0.0830302
2,0.8,Conventional,0.12804
2,0.8,AceHash,0.0830418
3,0.8,Conventional,0.128057
3,0.8,AceHash,0.083021
4,0.8,Conventional,0.128103
4,0.8,AceHash,0.0831091
0,0.81,Conventional,0.130949
0,0.81,AceHash,0.0830551
1,0.81,Conventional,0.13087
