Number of keys,Algorithm,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
10000000,AceHash;1.5;0.9;1;0;0;0,1,53333336,1.28617,0.106607,0.0111512
10000000,AceHash;1.5;0.9;1;0;0;0,2,53333336,1.28981,0.106676,0.0111493
10000000,AceHash;1.5;0.9;1;0;0;0,3,53333336,1.28943,0.107885,0.0111715
10000000,AceHash;1.5;0.9;1;0;0;0,4,53333336,1.28433,0.106518,0.0111537
10000000,AceHash;1.5;0.9;1;1;0;0,0,53333552,0.746543,0.120336,0.0125845
10000000,AceHash;1.5;0.9;1;1;0;0,1,53333552,0.748506,0.120732,0.012576
10000000,AceHash;1.5;0.9;1;1;0;0,2,53333552,0.745721,0.120219,0.0125264
10000000,AceHash;1.5;0.9;1;1;0;0,3,53333552,0.746207,0.1199,0.0125407
10000000,AceHash;1.5;0.9;1;1;0;0,4,53333552,0.74658,0.120123,0.0125537
10000000,AceHash;1.5;0.9;1;1;1;0,0,53333552,0.745322,0.0833804,0.00863513
10000000,AceHash;1.5;0.9;1;1;1;0,1,53333552,0.746057,0.0833614,0.00865663
10000000,AceHash;1.5;0.9;1;1;1;0,2,53333552,0.746864,0.0833969,0.00863739
10000000,AceHash;1.5;0.9;1;1;1;0,3,53333552,0.745762,0.0832876,0.00866918
10000000,AceHash;1.5;0.9;1;1;1;0,4,53333552,0.746279,0.0833258,0.00866785
10000000,AceHash;1.5;0.9;1;1;1;1,0,53333552,0.194754,0.0831244,0.00862744
10000000,AceHash;1.5;0.9;1;1;1;1,1,53333552,0.19456,0.0831615,0.00864817
10000000,AceHash;1.5;0.9;1;1;1;1,2,53333696,0.19466,0.0832354,0.00862979
10000000,AceHash;1.5;0.9;1;1;1;1,3,53333664,0.194975,0.0831653,0.00869928
10000000,AceHash;1.5;0.9;1;1;1;1,4,53333624,0.194809,0.0832569,0.00867369
10000000,AceHash;1.5;0.95;0;0;0;0,0,53333336,3.96637,0.106781,0.0114167
10000000,AceHash;1.5;0.95;0;0;0;0,1,53333336,3.96846,0.10674,0.0114467
10000000,AceHash;1.5;0.95;0;0;0;0,2,53333336,3.9734,0.108576,0.0114307
10000000,AceHash;1.5;0.95;0;0;0;0,3,53333336,3.96628,0.106932,0.0114194
10000000,AceHash;1.5;0.95;0;0;0;0,4,53333336,3.96487,0.106836,0.0114267
10000000,AceHash;1.5;0.95;1;0;0;0,0,53333336,1.40054,0.106492,0.0111649
10000000,AceHash;1.5;0.95;1;0;0;0,1,53333336,1.40036,0.106451,0.0111143
10000000,AceHash;1.5;0.95;1;0;0;0,2,53333336,1.40118,0.106379,0.0111666
10000000,AceHash;1.5;0.95;1;0;0;0,3,53333336,1.40162,0.106511,0.0111501
10000000,AceHash;1.5;0.95;1;0;0;0,4,53333336,1.40069,0.106407,0.0112074
10000000,AceHash;1.5;0.95;1;1;0;0,0,53363904,0.76727,0.120275,0.0125812
10000000,AceHash;1.5;0.95;1;1;0;0,1,53363904,0.768387,0.120672,0.0125504
10000000,AceHash;1.5;0.95;1;1;0;0,2,53363904,0.767707,0.119808,0.0125293
10000000,AceHash;1.5;0.95;1;1;0;0,3,53363904,0.768339,0.120242,0.0125572
10000000,AceHash;1.5;0.95;1;1;0;0,4,53363904,0.767672,0.120588,0.0125711
10000000,AceHash;1.5;0.95;1;1;1;0,0,53363904,0.768999,0.0835475,0.00864812
10000000,AceHash;1.5;0.95;1;1;1;0,1,53363904,0.76733,0.0835215,0.0086271
10000000,AceHash;1.5;0.95;1;1;1;0,2,53363904,0.767578,0.0834039,0.00864075
