Experiment,Number of keys,Algorithm,Parameters,Trial,Number of bits,Construction time (s),Serial evaluation time (s),Parallel evaluation time (s)
1,10000000,AceHash;1;1;1;0,4;0.8,0,20086296,0.691948,0.836712,0.0860501
1,10000000,AceHash;1;1;1;0,4;0.8,1,20086296,0.693484,0.838639,0.0860966
1,10000000,AceHash;1;1;1;0,4;0.8,2,20086296,0.693619,0.841868,0.0861251
1,10000000,AceHash;1;1;1;0,4;0.8,3,20086296,0.693456,0.849669,0.0860921
1,10000000,AceHash;1;1;1;0,4;0.8,4,20086296,0.693863,0.84042,0.0864808
1,10000000,AceHash;1;1;1;0,4;0.85,0,20786352,0.749323,0.850351,0.086531
1,10000000,AceHash;1;1;1;0,4;0.85,1,20786352,0.751129,0.848097,0.0867616
1,10000000,AceHash;1;1;1;0,4;0.85,2,20786352,0.750072,0.848282,0.0867803
1,10000000,AceHash;1;1;1;0,4;0.85,3,20786352,0.750849,0.847495,0.086483
1,10000000,AceHash;1;1;1;0,4;0.85,4,20786352,0.749803,0.848838,0.0867124
1,10000000,AceHash;1;1;1;0,4;0.9,0,23711856,0.836212,0.882153,0.0883754
1,10000000,AceHash;1;1;1;0,4;0.9,1,23711856,0.837538,0.880533,0.0883764
1,10000000,AceHash;1;1;1;0,4;0.9,2,23711856,0.84094,0.878231,0.088222
1,10000000,AceHash;1;1;1;0,4;0.9,3,23711856,0.83703,0.878507,0.0883162
1,10000000,AceHash;1;1;1;0,4;0.9,4,23711856,0.837275,0.879325,0.088302
1,10000000,AceHash;1;1;1;0,4;0.95,0,30534360,0.956153,0.942991,0.0924664
1,10000000,AceHash;1;1;1;0,4;0.95,1,30534360,0.956445,0.94325,0.0924611
1,10000000,AceHash;1;1;1;0,4;0.95,2,30534360,0.957457,0.94289,0.0925284
1,10000000,AceHash;1;1;1;0,4;0.95,3,30534360,0.956795,0.943499,0.0923849
1,10000000,AceHash;1;1;1;0,4;0.95,4,30534360,0.955308,0.945146,0.0923559
1,10000000,AceHash;1;1;1;0,4;1,0,40758144,1.0933,1.03049,0.0993246
1,10000000,AceHash;1;1;1;0,4;1,1,40758144,1.09354,1.02959,0.0992824
1,10000000,AceHash;1;1;1;0,4;1,2,40758144,1.09445,1.03327,0.0994782
1,10000000,AceHash;1;1;1;0,4;1,3,40758144,1.09816,1.0292,0.0993976
1,10000000,AceHash;1;1;1;0,4;1,4,40758144,1.0955,1.02972,0.099566
1,10000000,AceHash;1;1;1;0,4.5;0.7,0,17781600,0.64446,0.837077,0.0857299
1,10000000,AceHash;1;1;1;0,4.5;0.7,1,17781600,0.644358,0.834764,0.0856
1,10000000,AceHash;1;1;1;0,4.5;0.7,2,17781600,0.645134,0.842382,0.0855371
1,10000000,AceHash;1;1;1;0,4.5;0.7,3,17781600,0.644989,0.833252,0.0854647
1,10000000,AceHash;1;1;1;0,4.5;0.7,4,17781600,0.645006,0.831873,0.0856694
1,10000000,AceHash;1;1;1;0,4.5;0.75,0,17850976,0.682295,0.833893,0.0855064
1,10000000,AceHash;1;1;1;0,4.5;0.75,1,17850976,0.683944,0.832437,0.0858513
1,10000000,AceHash;1;1;1;0,4.5;0.75,2,17850976,0.683486,0.833065,0.085678
1,10000000,AceHash;1;1;1;0,4.5;0.75,3,17850976,0.684094,0.8369,0.085932
1,10000000,AceHash;1;1;1;0,4.5;0.75,4,17850976,0.684259,0.831864,0.0855986
1,10000000,AceHash;1;1;1;0,4.5;0.8,0,18419528,0.741823,0.839991,0.0860817
1,10000000,AceHash;1;1;1;0,4.5;0.8,1,18419528,0.743527,0.839755,0.0860777
1,10000000,AceHash;1;1;1;0,4.5;0.8,2,18419528,0.742162,0.840777,0.0861163
1,10000000,AceHash;1;1;1;0,4.5;0.8,3,18419528,0.743638,0.839288,0.0859561
1,10000000,AceHash;1;1;1;0,4.5;0.8,4,18419528,0.742868,0.843424,0.0860118
1,10000000,AceHash;1;1;1;0,4.5;0.85,0,21091664,0.831539,0.87113,0.0875811
1,10000000,AceHash;1;1;1;0,4.5;0.85,1,21091664,0.831534,0.870497,0.0876351
1,10000000,AceHash;1;1;1;0,4.5;0.85,2,21091664,0.831123,0.87225,0.0876119
1,10000000,AceHash;1;1;1;0,4.5;0.85,3,21091664,0.831745,0.871051,0.0878119
1,10000000,AceHash;1;1;1;0,4.5;0.85,4,21091664,0.832924,0.874128,0.0874658
1,10000000,AceHash;1;1;1;0,4.5;0.9,0,27377512,0.948154,0.932013,0.0911311
1,10000000,AceHash;1;1;1;0,4.5;0.9,1,27377512,0.949852,0.931444,0.0911209
1,10000000,AceHash;1;1;1;0,4.5;0.9,2,27377512,0.947872,0.932426,0.0911568
1,10000000,AceHash;1;1;1;0,4.5;0.9,3,27377512,0.94787,0.932565,0.091114
1,10000000,AceHash;1;1;1;0,4.5;0.9,4,27377512,0.948583,0.931182,0.0912413
1,10000000,AceHash;1;1;1;0,4.5;0.95,0,37089200,1.09081,1.01615,0.0973986
1,10000000,AceHash;1;1;1;0,4.5;0.95,1,37089200,1.08627,1.01491,0.0976239
1,10000000,AceHash;1;1;1;0,4.5;0.95,2,37089200,1.08573,1.0131,0.0974548
1,10000000,AceHash;1;1;1;0,4.5;0.95,3,37089200,1.08611,1.01858,0.0973678
1,10000000,AceHash;1;1;1;0,4.5;0.95,4,37089200,1.08591,1.0123,0.0976659
1,10000000,AceHash;1;1;1;0,4.5;1,0,48489384,1.22433,1.11441,0.105493
1,10000000,AceHash;1;1;1;0,4.5;1,1,48489384,1.2268,1.11411,0.105391
1,10000000,AceHash;1;1;1;0,4.5;1,2,48489384,1.22566,1.11433,0.105728
1,10000000,AceHash;1;1;1;0,4.5;1,3,48489384,1.22521,1.11452,0.105557
1,10000000,AceHash;1;1;1;0,4.5;1,4,48489384,1.22785,1.11408,0.105488
2,10000000,AceHash;0;0;0;0,2.5;1,0,33688656,4.66205,1.02798,0.0982531
2,10000000,AceHash;0;0;0;0,2.5;1,1,33688656,4.66721,1.02899,0.0982681
2,10000000,AceHash;0;0;0;0,2.5;1,2,33688656,4.6629,1.02962,0.0993087
2,10000000,AceHash;0;0;0;0,2.5;1,3,33688656,4.66137,1.0281,0.0982795
2,10000000,AceHash;0;0;0;0,2.5;1,4,33688656,4.66298,1.02828,0.0982471
2,10000000,AceHash;1;0;0;0,2.5;1,0,33688656,2.94953,1.02806,0.0997543
2,10000000,AceHash;1;0;0;0,2.5;1,1,33688656,2.95156,1.02823,0.0997601
