Key type,Value type,Key cardinality,Algorithm,Parameters,Trial,Number of bits,Build time (s),Serial aggregate time (s)
m,h,5000000,PTHash;dictionary-dictionary;1,8;0.98,4,58549136,1.58166,3.05399
m,h,5000000,DuckDB,,0,0,0,7.62901
m,h,5000000,DuckDB,,1,0,0,7.61326
m,h,5000000,DuckDB,,2,0,0,7.64875
m,h,5000000,DuckDB,,3,0,0,7.63503
m,h,5000000,DuckDB,,4,0,0,7.61251
m,m,10000000,AceHash;1;1;1;0,2.5;1,0,674762864,1.47878,2.53268
m,m,10000000,AceHash;1;1;1;0,2.5;1,1,674762864,1.47909,2.53249
m,m,10000000,AceHash;1;1;1;0,2.5;1,2,674762864,1.47949,2.54209
m,m,10000000,AceHash;1;1;1;0,2.5;1,3,674762864,1.59089,2.53473
m,m,10000000,AceHash;1;1;1;0,2.5;1,4,674762864,1.58062,2.5354
m,m,10000000,std::unordered_map,,0,0,1.40341,28.5738
m,m,10000000,std::unordered_map,,1,0,1.319,28.5722
m,m,10000000,std::unordered_map,,2,0,1.19856,28.5836
m,m,10000000,std::unordered_map,,3,0,1.19324,28.5828
m,m,10000000,std::unordered_map,,4,0,1.19393,28.5924
m,m,10000000,absl::flat_hash_map,,0,0,1.45643,19.1206
m,m,10000000,absl::flat_hash_map,,1,0,1.46649,19.1105
m,m,10000000,absl::flat_hash_map,,2,0,1.45449,19.1269
m,m,10000000,absl::flat_hash_map,,3,0,1.46703,19.1186
m,m,10000000,absl::flat_hash_map,,4,0,1.4689,19.1367
m,m,10000000,BBHash;0,2.000000,0,677100160,1.86075,11.0006
m,m,10000000,BBHash;0,2.000000,1,677100160,1.85208,11.0048
m,m,10000000,BBHash;0,2.000000,2,677100160,1.87016,11.0182
m,m,10000000,BBHash;0,2.000000,3,677100160,1.87032,11.0019
m,m,10000000,BBHash;0,2.000000,4,677100160,1.86472,11.0182
m,m,10000000,PTHash;dictionary-dictionary;1,8;0.98,0,688097248,3.71801,4.73255
